ts,load1,cpu_pct,mem_used_mb,mem_total_mb,gpu0_pct,gpu0_mem_mb,gpu1_pct,gpu1_mem_mb,gpu_temp
1787360293,2.18,4.1,11825,28012,24,7397,0,0,74
1787360295,2.18,3.7,11821,28012,24,7397,0,0,74
1787360297,2.16,3.9,11813,28012,26,7397,0,0,74
1787360299,2.16,3.7,11811,28012,26,7397,0,0,74
1787360301,2.16,3.5,11796,28012,25,7397,0,0,74
1787360303,2.15,3.7,11793,28012,25,7397,0,0,74
1787360305,2.15,3.8,11783,28012,25,7397,0,0,74
1787360307,2.06,3.6,11772,28012,26,7397,0,0,74
1787360310,2.06,3.6,11764,28012,26,7397,0,0,74
1787360312,1.97,3.6,11757,28012,21,7397,0,0,74
1787360314,1.97,3.9,11762,28012,26,7397,0,0,74
1787360316,1.97,3.8,11759,28012,27,7397,0,0,74
1787360318,1.90,3.6,11758,28012,71,7397,0,0,78
1787360320,1.90,4.6,11822,28012,21,7397,0,0,75
1787360322,1.82,3.8,11803,28012,22,7397,0,0,74
1787360325,1.82,3.7,11802,28012,18,7397,0,0,74
1787360327,1.76,3.8,11784,28012,24,7397,0,0,74
1787360329,1.76,3.6,11804,28012,25,7397,0,0,74
1787360331,1.76,3.6,11803,28012,22,7397,0,0,74
1787360333,1.70,4.3,12158,28012,10,7397,0,0,75
1787360335,1.70,3.9,13485,28012,10,7397,0,0,74
1787360337,1.64,3.5,11832,28012,23,7397,0,0,74
1787360340,1.64,3.6,11834,28012,22,7397,0,0,74
1787360342,1.67,3.9,11834,28012,23,7397,0,0,74
1787360344,1.67,3.6,11810,28012,21,7397,0,0,74
1787360346,1.67,3.5,11816,28012,24,7397,0,0,74
1787360348,1.62,3.5,11813,28012,25,7397,0,0,74
1787360350,1.62,3.8,11784,28012,24,7397,0,0,74
1787360352,1.57,3.7,11765,28012,25,7397,0,0,74
1787360354,1.57,3.6,11754,28012,26,7397,0,0,74
1787360357,1.52,3.8,11750,28012,26,7397,0,0,74
1787360359,1.52,3.9,11748,28012,14,7397,0,0,74
1787360361,1.52,4.0,11756,28012,16,7397,0,0,74
1787360363,1.48,3.6,11752,28012,26,7397,0,0,74
1787360365,1.48,3.6,11745,28012,97,7397,0,0,78
1787360367,1.44,4.5,11823,28012,15,7397,0,0,75
1787360369,1.44,3.7,11814,28012,17,7397,0,0,74
1787360372,1.40,3.7,11793,28012,11,7397,0,0,74
1787360374,1.40,3.5,11790,28012,24,7397,0,0,74
1787360376,1.40,3.9,11788,28012,24,7397,0,0,74
1787360378,1.45,3.5,11786,28012,25,7397,0,0,73
1787360380,1.45,4.4,12022,28012,10,7397,0,0,75
1787360382,1.42,3.5,11852,28012,21,7397,0,0,74
1787360384,1.42,3.6,11838,28012,22,7397,0,0,74
1787360387,1.38,3.6,11826,28012,22,7397,0,0,74
1787360389,1.38,4.0,11823,28012,22,7397,0,0,74
1787360391,1.38,3.7,11825,28012,23,7397,0,0,74
1787360393,1.35,3.6,11818,28012,24,7397,0,0,74
1787360395,1.35,3.6,11794,28012,24,7397,0,0,74
1787360397,1.32,3.8,11796,28012,72,7397,0,0,76
1787360399,1.32,4.4,12180,28012,9,7397,0,0,75
1787360401,1.30,3.6,11850,28012,22,7397,0,0,75
1787360404,1.30,3.5,11834,28012,23,7397,0,0,75
1787360406,1.30,3.6,11827,28012,23,7397,0,0,75
1787360408,1.27,3.7,11829,28012,24,7397,0,0,74
1787360410,1.27,3.8,11818,28012,25,7397,0,0,74
1787360412,1.33,3.5,11822,28012,25,7397,0,0,75
1787360414,1.33,3.6,11816,28012,19,7397,0,0,74
1787360416,1.30,3.9,11797,28012,26,7397,0,0,74
1787360419,1.30,4.1,11790,28012,34,7397,0,0,74
